PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1627824,2017-18,00,1610612738,BOS,22.0,33,4,235.0,26,61,0.426,12,37,0.324,15,22,0.682,17,35,52,16,4,5,12,23,79
1627824,2018-19,00,1610612738,BOS,23.0,41,1,251.0,35,77,0.455,9,28,0.321,15,22,0.682,23,30,53,15,8,7,15,32,94
1627735,2016-17,00,1610612763,MEM,21.0,33,1,405.0,36,115,0.313,3,22,0.136,31,37,0.838,11,35,46,61,18,7,39,40,106
1627735,2017-18,00,1610612757,POR,22.0,7,0,80.0,14,21,0.667,4,5,0.8,6,10,0.6,1,7,8,5,2,1,4,12,38
1627735,2018-19,00,1610612757,POR,23.0,16,0,94.0,10,33,0.303,2,9,0.222,8,11,0.727,2,13,15,12,1,2,14,11,30
1627740,2016-17,00,1610612765,DET,20.0,19,2,146.0,23,64,0.359,10,35,0.286,4,8,0.5,8,33,41,7,1,1,14,6,60
1627740,2017-18,00,1610612765,DET,21.0,38,0,329.0,53,146,0.363,20,60,0.333,25,29,0.862,10,71,81,20,5,0,18,22,151
1627740,2018-19,00,1610612765,DET,22.0,2,0,25.0,4,10,0.4,2,4,0.5,2,2,1.0,0,9,9,1,0,0,0,2,12
1627740,2018-19,00,1610612752,NYK,22.0,17,0,234.0,35,85,0.412,15,34,0.441,17,23,0.739,5,52,57,15,7,2,9,25,102
1627740,2018-19,00,0,TOT,22.0,19,0,259.0,39,95,0.411,17,38,0.447,19,25,0.76,5,61,66,16,7,2,9,27,114
1627736,2016-17,00,1610612743,DEN,20.0,22,1,165.0,33,73,0.452,9,28,0.321,8,10,0.8,5,12,17,11,7,0,8,10,83
1627736,2017-18,00,1610612743,DEN,21.0,62,0,583.0,73,178,0.41,28,82,0.341,22,33,0.667,14,57,71,31,15,7,24,36,196
1627736,2018-19,00,1610612743,DEN,22.0,81,18,1879.0,349,737,0.474,163,405,0.402,56,66,0.848,35,165,200,97,55,10,55,116,917
1627747,2016-17,00,1610612751,BKN,22.0,57,26,1237.0,171,380,0.45,59,184,0.321,67,93,0.72,23,165,188,110,49,8,59,91,468
1627747,2017-18,00,1610612751,BKN,23.0,71,10,1864.0,320,735,0.435,85,245,0.347,133,187,0.711,53,207,260,299,82,22,153,159,858
1627747,2018-19,00,1610612751,BKN,24.0,40,25,1063.0,207,483,0.429,48,154,0.312,85,123,0.691,35,116,151,156,42,14,69,77,547
1627761,2016-17,00,1610612737,ATL,22.0,38,1,371.0,47,98,0.48,1,18,0.056,6,16,0.375,14,45,59,28,8,5,16,21,101
1627761,2017-18,00,1610612737,ATL,23.0,26,3,455.0,53,128,0.414,11,30,0.367,19,33,0.576,8,64,72,49,21,12,47,38,136
1627761,2018-19,00,1610612737,ATL,24.0,82,15,1931.0,275,616,0.446,50,173,0.289,87,136,0.64,54,304,358,202,105,41,142,190,687
1627781,2016-17,00,1610612758,SAC,21.0,22,0,198.0,28,68,0.412,8,28,0.286,15,19,0.789,3,20,23,11,5,1,8,23,79
1627781,2017-18,00,1610612758,SAC,22.0,25,4,319.0,29,88,0.33,12,39,0.308,17,22,0.773,5,28,33,13,10,1,10,27,87
1627781,2017-18,00,1610612761,TOR,22.0,1,0,5.0,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2
1627781,2017-18,00,0,TOT,22.0,26,4,323.0,30,90,0.333,12,40,0.3,17,22,0.773,5,29,34,13,10,1,10,27,89
1627781,2018-19,00,1610612761,TOR,23.0,22,0,103.0,9,29,0.31,8,25,0.32,4,5,0.8,2,11,13,0,1,0,8,13,30
1627790,2017-18,00,1610612739,CLE,21.0,32,2,214.0,49,67,0.731,0,0,0.0,21,29,0.724,24,36,60,5,2,13,11,30,119
1627790,2018-19,00,1610612739,CLE,22.0,59,25,1082.0,183,331,0.553,0,0,0.0,93,132,0.705,108,212,320,53,13,22,61,113,459
1627789,2016-17,00,1610612755,PHI,22.0,69,19,1190.0,145,361,0.402,50,161,0.311,105,123,0.854,25,124,149,75,32,10,73,154,445
1627789,2017-18,00,1610612755,PHI,23.0,52,7,807.0,100,267,0.375,53,158,0.335,46,58,0.793,14,58,72,54,12,5,38,97,299
1627789,2018-19,00,1610612760,OKC,24.0,21,1,123.0,13,43,0.302,5,22,0.227,4,6,0.667,4,14,18,4,4,1,5,14,35
1627789,2018-19,00,1610612741,CHI,24.0,29,6,546.0,69,175,0.394,31,94,0.33,27,35,0.771,7,72,79,22,15,7,16,59,196
1627789,2018-19,00,0,TOT,24.0,50,7,669.0,82,218,0.376,36,116,0.31,31,41,0.756,11,86,97,26,19,8,21,73,231
1627744,2016-17,00,1610612746,LAC,23.0,3,0,9.0,2,7,0.286,0,0,0.0,0,0,0.0,1,2,3,1,2,1,1,0,4
1627744,2017-18,00,1610612746,LAC,24.0,9,0,38.0,7,11,0.636,0,1,0.0,2,2,1.0,2,11,13,1,6,2,4,7,16
1627744,2017-18,00,1610612763,MEM,24.0,9,0,60.0,13,31,0.419,0,0,0.0,1,3,0.333,7,11,18,1,3,4,1,6,27
