Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
100,Dante Cunningham,PF,24,MEM,64,1124,14.9,0.538,0.007,0.247,9.3,16.4,12.8,5.2,2,2.5,8.6,13.6,,1.8,1.7,3.4,0.147,,-0.8,1.6,0.8,0.8
101,Eddy Curry,C,29,MIA,14,83,3.6,0.508,0,0.308,6,11.1,8.6,1.9,0,2,25.3,22.1,,-0.2,0.1,-0.1,-0.046,,-8.2,-3.1,-11.3,-0.2
102,Stephen Curry,PG,23,GSW,26,732,21.2,0.605,0.409,0.159,2.3,11.3,6.8,32.3,2.8,0.8,17,24,,1.8,0.4,2.2,0.144,,4.7,-1.3,3.4,1
103,Samuel Dalembert,C,30,HOU,65,1446,16.9,0.551,0.003,0.286,12.6,24.1,18.3,3.6,1.3,5.7,15.6,16.6,,1.8,2.3,4.1,0.137,,-2.1,2.4,0.3,0.8
104,Erick Dampier,C,36,ATL,15,83,5.5,0.125,0,0,14.3,21,17.7,6.5,0.6,3.7,27.3,6.2,,-0.1,0.1,0.1,0.035,,-6.3,3.4,-2.8,0
105,Marquis Daniels,SG,31,BOS,38,484,8.1,0.395,0.07,0.161,4.1,11.6,8,15.5,2.3,1.4,15.5,18,,-0.8,0.9,0.1,0.008,,-5.4,1.8,-3.6,-0.2
106,Baron Davis,PG,32,NYK,29,595,10,0.457,0.462,0.13,2.5,8.4,5.4,36.2,2.9,0.4,28.1,20.4,,-0.7,0.8,0.2,0.014,,-2.4,-0.9,-3.3,-0.2
107,Ed Davis,PF,22,TOR,66,1534,14.2,0.544,0.003,0.316,10.4,23,16.7,6.5,1.4,3.4,14.9,13.8,,1.6,2.3,3.9,0.121,,-1.7,2.6,0.9,1.1
108,Glen Davis,PF,26,ORL,61,1427,13.2,0.466,0.026,0.313,8.5,18.4,13.4,5.9,1.6,1,11,22.4,,0,1.7,1.7,0.057,,-3.8,-0.4,-4.2,-0.8
109,Josh Davis,PF,31,MEM,15,130,11.3,0.459,0.481,0.296,14.1,10.1,12.1,6.8,2.8,0.6,8.9,11.7,,0.2,0.2,0.3,0.124,,0.9,0.8,1.7,0.1
